"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"Q8N8A6",192278.4,160568.6,226953.8,382767.7,157583.2,328180.9,46270.84,51211.44,228100.7,219399.2,0,0
"Q8N9T8",75781.16,94175.07,193047.9,159511.1,111221.8,138702.4,218035.4,224877.6,134770.6,149140.8,0,0
"Q8N9T8.1",741.4178,591.4907,11684.97,9612.207,4378.615,1249.638,281.8877,208.5359,5824.704,597.6984,0,0
"Q8NC44",0,1904.35,9029.249,15932.77,6243.729,18473.33,36880.91,20098.23,5260.492,6011.4,0,0
"Q8ND56",0,5699.483,27137.94,17157.2,11018.67,6263.215,323678.3,361446.4,21185.06,14765.88,0,0
"Q8ND56.1",478570.7,521718.2,489364.1,418504.8,468916,422843.1,541679.8,471634.1,579466.6,421616.1,0,0
"Q8NDX5",1357.785,4469.53,13171.24,8096.357,0,0,220170.6,207177.3,2403.305,1640.744,0,0
"Q8NE71",163038.2,177708.8,103546.1,122133,170429.9,84088.21,17903.41,4446.888,79226.45,75973.6,0,0
"Q8NE71.1",1365217,1434189,1138740,1275615,1395094,441577.2,202092.3,34760.75,661135.2,608537.1,0,0
"Q8NE71.2",124757.8,210256.2,120020.9,120385.8,61820.88,43660.85,81435.14,87250.06,50650.95,16694.41,0,0
"Q8NE71.3",305412.5,427230.8,416987.1,407721.1,275692.9,242318.6,166778.8,181979.4,125625.3,110834.4,0,0
"Q8NEY8",3885.137,20914.58,34272.59,25302.31,58441.06,60202.12,114757.4,123008,63994.62,34187.54,0,0
"Q8NFJ5.5",498960.2,377900.2,251577.9,297503.7,48097.03,66304.73,640990.5,554632.4,281422,328231.8,0,0
"Q8NHH9",187613.9,199082.3,430677.8,453226.6,189886,214319,144079.6,175037.4,355610.9,422997.8,0,0
"Q8TAD8",4237.546,17171.24,30636.51,18961.01,16352.51,9899.689,70316.63,69626.12,19736.92,13087.9,0,0
"Q8TE68.1",715.7983,11004.42,62786.33,30347.15,37604.8,33833.31,55357.59,49157.74,47638.78,37117.77,0,0
"Q8TE77",183955,167974.2,296069.8,295875.2,124728.4,72376.02,115261.6,125152.5,255249.5,193289.9,0,0
"Q8TEW0",8814.425,33245.12,4313.069,0,2596.531,2362.589,26318.99,41094.84,12131.27,10176.42,0,0
"Q8TEW0.1",0,0,0,0,0,0,7479.243,5509.317,0,0,0,0
"Q8TF72",0,1530.207,14494.02,6366.359,6960.423,7701.978,4031.681,31.06152,7409.185,1521.805,0,0
"Q8WUA2",168231.7,149690,149005.6,152044.8,15673.57,13170.7,851287.9,811715.8,282868.9,274550.2,0,0
"Q8WUA7",14285.37,22281,8729.181,8621.629,3395.661,5315.522,74045.48,61270.91,27620.52,27891.08,0,0
"Q8WVB6",2260.753,6429.933,8832.813,9842.845,3794.567,3733.013,25181.51,25186.98,4287.993,3317.771,0,0
"Q8WWI1",749424.7,1365544,1508491,1863024,618859.8,429724.9,776809.5,926546.2,580046.9,453844.2,0,0
"Q8WWI1.1",251636.7,354418.5,801258.5,877964.8,330443.4,143506.5,167573.7,182195,319911.7,318189.9,0,0
"Q8WWI1.2",8615.856,6290.092,35208.4,25299.88,8453.196,4332.307,10861.89,6711.416,8573.003,8734.862,0,0
"Q8WWI1.3",1759.308,1911.736,29762.42,23515.02,19344.92,15879.17,13910.68,22963.14,19396.29,11246.34,0,0
"Q8WWI1.4",0,0,11437.12,9409.855,0,0,51985.56,48531.38,6947.964,4468.82,0,0
"Q8WWI1.5",97787.56,40348.5,90104.66,101766.1,25131.8,20681.08,108096.5,125219.3,51284.55,49523.56,0,0
"Q8WWI1.6",243961.5,366026.2,426792.5,320098.1,197011.1,193231.7,593102.1,605611.9,505894.9,348727.9,0,0
"Q8WWI1.7",184872.8,285060.8,353096.6,327871.4,229087,252714.4,206551.6,211673.4,505500.7,500770.9,0,0
"Q8WWI1.8",16993.12,29369.38,66747.28,71661.92,10313.33,8081.077,643008.2,713762.7,47795.13,42123.88,0,0
